epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,7131.39,0.9646,0.73119,1.23652,0.84142,0.87361,0.90529,0.61515,1.09369,0.65958,1.40335,0.0002972,0.0002972,0.0002972
88,7245.36,0.93919,0.71219,1.22603,0.8592,0.85366,0.9006,0.61517,1.09071,0.66655,1.39945,0.0002774,0.0002774,0.0002774
89,7365.75,0.94861,0.70989,1.22371,0.86028,0.84368,0.89832,0.61092,1.0973,0.66855,1.40834,0.0002576,0.0002576,0.0002576
90,7446.24,0.93993,0.70131,1.21941,0.86092,0.8578,0.90251,0.61326,1.10506,0.66257,1.41548,0.0002378,0.0002378,0.0002378
91,7518.92,0.80812,0.50148,1.16524,0.85246,0.83038,0.89249,0.59832,1.11915,0.67336,1.42345,0.000218,0.000218,0.000218
92,7594.12,0.78894,0.45993,1.14664,0.85211,0.84812,0.8976,0.60722,1.09899,0.66404,1.4146,0.0001982,0.0001982,0.0001982
93,7668.32,0.77879,0.44917,1.13809,0.86388,0.84922,0.90424,0.61087,1.09733,0.65884,1.41677,0.0001784,0.0001784,0.0001784
94,7742.86,0.77515,0.44828,1.13577,0.84459,0.86157,0.90097,0.60859,1.10383,0.66858,1.42005,0.0001586,0.0001586,0.0001586
95,7819.38,0.76566,0.43065,1.12144,0.845,0.86364,0.9028,0.6094,1.11192,0.66941,1.4356,0.0001388,0.0001388,0.0001388
96,7897.31,0.75315,0.4385,1.11812,0.86123,0.85317,0.90296,0.61017,1.11082,0.66349,1.42996,0.000119,0.000119,0.000119
97,7991.63,0.75869,0.42718,1.12387,0.84937,0.86268,0.90338,0.61433,1.1056,0.65407,1.43017,9.92e-05,9.92e-05,9.92e-05
98,8074.99,0.74633,0.42236,1.11444,0.84379,0.86364,0.90319,0.6156,1.09952,0.66018,1.42457,7.94e-05,7.94e-05,7.94e-05
99,8157.11,0.73975,0.41876,1.11424,0.85498,0.85144,0.90445,0.61507,1.09546,0.65734,1.41989,5.96e-05,5.96e-05,5.96e-05
100,8239.83,0.73141,0.41489,1.10314,0.85257,0.87195,0.90743,0.61662,1.1005,0.64748,1.42798,3.98e-05,3.98e-05,3.98e-05
